# ============================================================
# Commissioning phase pre-populated cache
# Format: input_sequence|output_sequence
# Generated from real device observations
# ============================================================

# --- Depth 1: single symbols without ARM_FAILSAFE ---
COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_CERT_CHAIN_REQUEST_DAC|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_CERT_CHAIN_REQUEST_PAI|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ARM_FAILSAFE,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ADD_NOC,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,INVALID_STATE,COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT
COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|COMM_CSR_RECEIVED,COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CERT_PAI_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CSR_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CSR_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_NOC_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_NOC_INSTALLED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CERT_PAI_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ATTESTATION_SENT,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_NOC,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_NOC_INSTALLED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CERT_PAI_RECEIVED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CERT_CHAIN_REQUEST_DAC|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_CERT_DAC_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CERT_CHAIN_REQUEST_PAI|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_CERT_PAI_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CSR_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,SESSION_ERROR,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,SESSION_ERROR,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_CERT_PAI_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_CERT_DAC_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_ATTESTATION_SENT,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,SESSION_ERROR,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,SESSION_ERROR,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_CERT_PAI_RECEIVED,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_CERT_DAC_RECEIVED,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_ATTESTATION_SENT,SESSION_ERROR
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ROOT_CERT_INSTALLED,COMM_FAILSAFE_ARMED,SESSION_ERROR
